2775,5.42,20.05,14.63,0.0466,1,0,1.4715,2285.73,427.4,1241.02,0.0208,38.2278,18.699
2725,5.42,19.8,14.38,0.0454,2,0.6,2.0601,2226.87,587.57,1218.66,0.0203,52.5539,26.385
2660,5.42,19.4,13.98,0.0435,3,1,2.943,2133.68,819.37,1189.59,0.0195,73.2867,38.402
2575,5.42,19,13.58,0.0417,4,1.2,4.1202,2045.39,1110.46,1151.58,0.0186,99.3226,54.291
,,,,,,,,,,,,,
2760,5.2,19.95,14.75,0.0472,1,0,1.4715,2546.68,425.09,1176.87,0.0201,32.9562,16.692
2710,5.2,19.6,14.4,0.0455,2,0.5,2.20725,2454.95,626.08,1155.55,0.0194,48.5384,25.503
2625,5.2,19.3,14.1,0.0441,3,0.9,3.09015,2379.42,849.02,1119.3,0.0188,65.8224,35.682
2525,5.2,19.1,13.9,0.0432,4,1.2,4.1202,2330.86,1088.9,1076.66,0.0184,84.4197,46.717
,,,,,,,,,,,,,
2750,5.2,20,14.8,0.0474,1,0.1,1.32435,2789.96,381.19,1122.68,0.0194,25.9367,13.663
2670,5.2,19.6,14.4,0.0455,2,0.6,2.0601,2678.13,575.72,1090.02,0.0186,39.1728,21.497
2560,5.2,19.4,14.2,0.0446,3,1,2.943,2625.16,788.57,1045.12,0.0182,53.6554,30.039
2480,5.2,19.2,14,0.0436,4,1.3,3.97305,2566.3,1031.3,1012.46,0.0178,70.1711,40.186
,,,,,,,,,,,,,
2735,5.1,20.1,15,0.0484,1,0.1,1.32435,3086.23,379.11,1072.76,0.019,22.8768,12.284
2645,5.1,19.7,14.6,0.0465,2,0.5,2.20725,2965.07,611.06,1037.45,0.0182,36.8735,20.609
2540,5.1,19.4,14.3,0.045,3,1.1,2.79585,2869.43,743.29,996.27,0.0177,44.8527,25.904
2430,5.1,19.1,14,0.0436,4,1.4,3.8259,2780.15,973.08,953.12,0.0171,58.719,35.001
,,,,,,,,,,,,,
2690,5.1,19.9,14.8,0.0474,1,0.2,1.1772,3254.96,331.44,1016.72,0.0179,17.8961,10.183
2580,5.1,19.6,14.5,0.046,2,0.5,2.20725,3158.82,596.05,975.15,0.0174,32.1837,18.869
2480,5.1,19.2,14.1,0.0441,3,1.2,2.6487,3028.35,687.53,937.35,0.0167,37.1231,22.703
2320,5.1,19,13.9,0.0432,4,1.5,3.67875,2966.54,893.3,876.88,0.0163,48.2337,30.113
,,,,,,,,,,,,,
2253,5.1,20.7,15.6,0.0513,1,0.2,1.1772,3774.4,277.6,822.68,0.0187,13.5154,7.355
2137,5.1,20.4,15.3,0.0498,2,0.7,1.91295,3664.04,427.87,780.32,0.0182,20.8315,11.678
2035,5.1,20,14.9,0.0479,3,1.1,2.79585,3524.24,595.51,743.08,0.0175,28.9933,16.898
1934,5.1,19.5,14.4,0.0455,4,1.3,3.97305,3347.66,804.25,706.2,0.0166,39.1561,24.024
